news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
 ; ; ;4;2;2;5;7;1;2;1;1;1;2
 ; ; ;5;1;2;4;5;2;2;2;4;2;2
 ; ; ;5;1;3;9;3;2;2;1;2;3; 
 ; ; ;5;2;2;7;5;2;2;2;4;1; 
 ; ; ;10;4;3;10;3;2;2;1;2;2; 
 ; ;1;10;1;2;9;3;2;2;3;6; ; 
 ; ;3; ; ;3; ;1;2; ;1;1;3; 
 ;1;2;0; ;3;10;3;2;2;1;2;1; 
 ;1;2;0;2;2;10;2;2;2;1;2;3;2
 ;1;2;4;2;3;4;3;2;2;2;3;1; 
 ;1;3; ; ;2;8;4;2;1;2;4;3;1
 ;1;3; ;1;3; ; ;2;2;1;1;2; 
 ;1;3;5;2;5;6;3; ; ; ; ; ; 
 ;1;3;6;2;3;9;3; ; ;1;1; ; 
 ;1;3;7;2;2;9;3;2;2;2;3;2; 
 ;1;3;7;2;3;8;3; ; ; ; ; ; 
 ;1;4;0;5;5;0;5;2;2;1;1;3;2
 ;1;4;5;3;3;5;3;2;2;1;1;3;2
 ;1;4;9;2;3;10;3;2;2;1;1;3;2
 ;2;2;2;3;2;3;5;2;2;2;4;1; 
 ;2;3; ; ;3; ;3; ;2; ; ;3; 
 ;2;3; ;4;2;4;3;2;2;3;5;1;2
 ;2;3;1;3;2;8;5;2;2;1;1;3; 
 ;2;3;4;4;3;4;4;2;2;1;2;3; 
 ;2;3;5;1;3;10;2;2;2;1;1;3;2
 ;2;3;5;3;3;4;3;2;2;1;1;2; 
 ;2;4; ;2;2;10;3;2;2;1;2;3; 
 ;2;4;10;2;3;10;2;2;2;3;5;1;2
 ;3;3;5;3;2;3;5;2;2;1;1;1; 
 ;3;3;5;3;2;5;3; ; ;3;6;2; 
 ;3;4;5;1;3;7;3;2;2;1;1;3; 
 ;3;4;5;3;2;4;4;2;2;1;2;3; 
 ;4;3;7;4;2;8;2;1;2;3;6;2; 
 ;4;3;10;1;3;7;2;1;1;2;3;2;1
 ;5;1;1;1;2;6;5;2;2;2;3;1; 
 ;5;1;7;1;2;0;7;2;2;3;6;2; 
 ;5;2; ; ;2; ;5;1;2;2;4;2; 
 ;5;2;0;2;4;5;7;2;2;1;1;1; 
 ;5;2;3;5;2;5;6; ; ; ; ; ; 
 ;5;2;5;4;3;3;5;2;2;1;1;2;2
 ;5;3; ; ;3;0;7;2;2;1;1;3;2
 ;5;3; ;3;2;0;7;2;2;3;5;1; 
 ;5;3;0;1;2;5;3;1;1;2;3;3;1
 ;5;3;1;2;2;9;2;1;2;3;5;3; 
 ;5;3;1;3;4;0;7;2;2;1;1;1; 
 ;5;3;3;4;1;6;7;2;2;2;4;1; 
