news;internet;politics;lrscale;obedience;health;religious;relattend;livewomarr;divorced;edu3;edu6;zamieszkanie3;rozwod_balanced
60;1;3;10;4;4;5;5;2;2;1;2;3; 
60;2;3;6;2;2;7;3;2;2;1;2;3; 
90;1;3;8;3;2;8;4;2;2;1;2;3; 
180;5;2;5;3;2;10;3;2;2;1;2;3; 
60;3;3;5;3;2;7;3;2;2;1;2;3; 
120;5;2;5;2;3;3;5;2;2;1;2;3; 
60;1;1;10;1;4;10;2;2;2;1;2;3; 
1200;5;3;10;2;2;10;6;6;2;1;2;3; 
240;2;1;5;2;3;8;3;2;2;1;2;3; 
150;1;3;10;3;2;8;3;2;2;1;2;3; 
30;2;2;5;3;2;5;5;6;2;1;2;3; 
120;3;3;5;2;2;5;5;2;2;1;2;3; 
90;5;2;7;3;2;5;4;1;2;1;2;3; 
30;5;3;10;1;3;10;2;2;2;1;2;3; 
30;4;3;5;2;3;10;3;1;2;1;2;3; 
60;1;3;5;1;5;10;2;2;2;1;2;3; 
195;2;1;10;1;3;7;3;1;2;1;2;3; 
60;3;3;8;1;1;4;4;2;2;1;2;3; 
90;5;2;0;1;3;7;3;2;2;1;2;3; 
60;2;2;5;1;4;3;4;2;2;1;2;3; 
210;1;3;5;3;9;99;99;2;2;1;2;3; 
30;3;2;5;2;3;8;3;2;2;2;3;3; 
30;3;2;10;1;2;10;3;2;2;2;3;3; 
90;5;3;10;2;2;3;3;2;2;2;3;3; 
90;5;3;1;3;3;5;4;2;2;2;3;3; 
5;5;3;99;4;2;5;4;2;2;2;3;3; 
30;5;3;10;2;2;6;4;2;2;2;3;3; 
30;5;3;99;3;2;7;5;1;2;2;3;3; 
30;5;3;4;2;2;7;6;2;2;2;3;3; 
120;5;2;10;3;3;7;3;2;2;2;3;3; 
20;5;3;1;5;3;0;6;6;2;2;3;3; 
120;5;3;5;5;3;0;7;1;2;2;3;3; 
60;5;3;7;3;3;5;5;2;2;2;3;3; 
90;5;3;6;3;3;8;3;2;2;2;3;3; 
210;5;1;5;1;5;10;3;2;2;2;3;3; 
240;1;2;3;3;3;99;99;2;2;2;3;3; 
60;2;3;5;2;2;9;3;2;2;2;3;3; 
5;5;4;5;5;2;2;6;2;2;2;3;3; 
150;5;3;10;1;3;10;3;2;2;2;3;3; 
330;5;2;2;3;2;6;4;6;2;2;4;3; 
60;2;3;10;1;4;10;2;1;2;2;4;3; 
20;3;3;5;1;1;5;4;2;2;2;4;3; 
360;3;4;0;1;5;0;7;2;2;2;4;3; 
20;5;3;0;2;2;5;4;2;2;2;4;3; 
90;5;3;10;1;2;4;6;2;2;2;4;3; 
10;5;3;10;2;2;8;3;2;2;2;4;3; 
10;2;3;3;2;2;8;3;1;2;2;4;3; 
30;5;3;5;3;1;7;5;2;2;2;4;3; 
30;5;2;0;2;1;10;4;1;2;2;4;3; 
30;5;3;7;3;4;6;3;2;2;2;4;3; 
30;2;4;8;3;2;4;5;2;2;2;4;3; 
5;5;3;5;3;1;1;6;2;2;2;4;3; 
60;5;4;4;3;2;0;7;2;2;2;4;3; 
30;5;3;7;3;2;7;3;2;2;2;4;3; 
90;5;1;5;5;2;0;7;2;2;2;4;3; 
120;4;2;8;1;2;6;3;2;2;2;4;3; 
9999;5;4;5;1;1;3;5;2;2;2;4;3; 
30;5;2;10;2;2;9;3;2;2;2;4;3; 
210;1;3;5;2;3;4;6;2;2;2;4;3; 
30;5;3;0;1;3;0;7;2;2;2;4;3; 
30;4;3;5;3;3;2;6;6;2;2;4;3; 
150;1;1;10;2;4;5;4;2;2;2;4;3; 
30;5;2;5;3;1;8;3;2;2;2;4;3; 
15;5;4;5;2;2;8;3;2;2;2;4;3; 
30;5;2;99;9;2;5;4;2;2;2;4;3; 
60;3;3;8;3;4;6;5;1;2;2;4;3; 
30;3;3;5;1;2;5;6;1;2;2;4;3; 
30;2;4;7;2;3;5;4;2;2;2;4;3; 
90;3;3;5;2;3;8;2;2;2;2;4;3; 
20;5;3;0;3;2;0;7;1;2;2;4;3; 
15;5;3;5;3;1;6;4;2;2;2;4;3; 
60;4;3;5;3;2;7;5;1;2;2;4;3; 
30;5;3;5;4;3;8;4;2;2;2;4;3; 
60;5;3;7;1;1;6;4;2;2;2;4;3; 
180;5;2;99;3;1;99;6;6;2;2;4;3; 
90;3;2;4;2;2;8;3;2;2;2;4;3; 
70;5;3;5;2;3;8;3;2;2;2;4;3; 
30;3;2;5;2;1;6;4;2;2;2;4;3; 
10;4;4;6;2;2;5;3;1;2;2;4;3; 
45;3;3;5;3;1;5;5;2;2;3;5;3; 
140;5;3;10;2;2;2;5;2;2;3;5;3; 
12;5;2;5;3;2;6;4;1;2;3;5;3; 
30;5;3;7;3;3;8;3;2;2;3;5;3; 
60;3;2;6;2;2;7;4;2;2;3;5;3; 
120;5;2;5;4;2;3;7;1;2;3;5;3; 
20;5;3;5;3;2;6;3;2;2;3;5;3; 
20;5;3;5;1;2;7;3;2;2;3;5;3; 
10;4;3;5;2;3;5;4;2;2;3;5;3; 
9999;5;3;1;2;2;9;2;1;2;3;5;3; 
70;1;3;8;2;4;99;6;2;2;3;5;3; 
10;5;3;99;9;2;7;3;2;2;3;6;3; 
60;5;3;7;1;1;9;2;2;2;3;6;3; 
20;5;2;5;3;1;5;5;2;2;3;6;3; 
40;5;3;6;4;1;7;3;2;2;3;6;3; 
30;5;2;4;2;1;8;3;2;2;3;6;3; 
180;5;1;8;1;2;3;5;6;2;3;6;3; 
30;5;3;7;1;2;9;3;2;2;3;6;3; 
30;5;3;6;1;5;10;3;1;2;3;6;3; 
15;5;3;10;2;2;8;3;2;2;3;6;3; 
9999;2;3;99;9;3;99;3;9;2; ; ;3; 
100;5;3;10;2;2;99;4;2;2; ; ;3; 
60;3;3;5;1;2;9;4;1;2; ; ;3; 
30;5;3;1;3;2;0;7;2;2; ; ;3; 
1440;5;1;9;1;1;10;5;2;2; ; ;3; 
40;5;3;7;2;2;6;4;2;2;1;1;3; 
140;5;3;5;3;2;6;3;1;2;1;1;3; 
